iteration,camera1_pose,camera3_pose
90,"[0.243646, 0.044944, 0.341934, 3.104508, 0.006415, 3.119299]","[0.143105, 0.185464, 0.504942, -0.424908, -0.369123, 1.907310]"
91,"[0.243659, 0.044932, 0.341944, 3.104391, 0.006447, 3.118537]","[0.143105, 0.185464, 0.504942, -0.424908, -0.369123, 1.907310]"
92,"[0.243659, 0.044932, 0.341944, 3.104391, 0.006447, 3.118537]","[0.143105, 0.185464, 0.504942, -0.424908, -0.369123, 1.907310]"
93,"[0.243659, 0.044932, 0.341944, 3.104391, 0.006447, 3.118537]","[0.143112, 0.185518, 0.505064, -0.424578, -0.369180, 1.908524]"
94,"[0.243663, 0.044926, 0.341934, 3.104541, 0.006065, 3.118847]","[0.143112, 0.185518, 0.505064, -0.424578, -0.369180, 1.908524]"
95,"[0.243663, 0.044926, 0.341934, 3.104541, 0.006065, 3.118847]","[0.143174, 0.185576, 0.505310, -0.424946, -0.369198, 1.908694]"
96,"[0.243644, 0.044940, 0.341944, 3.104506, 0.006307, 3.118736]","[0.143174, 0.185576, 0.505310, -0.424946, -0.369198, 1.908694]"
97,"[0.243644, 0.044940, 0.341944, 3.104506, 0.006307, 3.118736]","[0.143174, 0.185576, 0.505310, -0.424946, -0.369198, 1.908694]"
98,"[0.243644, 0.044940, 0.341944, 3.104506, 0.006307, 3.118736]","[0.143065, 0.185478, 0.504955, -0.424802, -0.368824, 1.907588]"
99,"[0.243729, 0.044960, 0.342037, 3.104285, 0.005646, 3.119019]","[0.143065, 0.185478, 0.504955, -0.424802, -0.368824, 1.907588]"
100,"[0.243729, 0.044960, 0.342037, 3.104285, 0.005646, 3.119019]","[0.143065, 0.185478, 0.504955, -0.424802, -0.368824, 1.907588]"
101,"[0.243729, 0.044960, 0.342037, 3.104285, 0.005646, 3.119019]","[0.143244, 0.185583, 0.505398, -0.423835, -0.368692, 1.908676]"
102,"[0.243659, 0.044917, 0.341930, 3.104555, 0.006267, 3.118698]","[0.143244, 0.185583, 0.505398, -0.423835, -0.368692, 1.908676]"
103,"[0.243659, 0.044917, 0.341930, 3.104555, 0.006267, 3.118698]","[0.143244, 0.185583, 0.505398, -0.423835, -0.368692, 1.908676]"
104,"[0.243659, 0.044917, 0.341930, 3.104555, 0.006267, 3.118698]","[0.143046, 0.185390, 0.504799, -0.424906, -0.369313, 1.907516]"
105,"[0.243599, 0.044916, 0.341848, 3.104648, 0.006646, 3.118810]","[0.143046, 0.185390, 0.504799, -0.424906, -0.369313, 1.907516]"
106,"[0.243599, 0.044916, 0.341848, 3.104648, 0.006646, 3.118810]","[0.143046, 0.185390, 0.504799, -0.424906, -0.369313, 1.907516]"
107,"[0.243599, 0.044916, 0.341848, 3.104648, 0.006646, 3.118810]","[0.143123, 0.185469, 0.504987, -0.424593, -0.369971, 1.908322]"
108,"[0.243652, 0.044939, 0.341927, 3.104330, 0.006141, 3.118501]","[0.143123, 0.185469, 0.504987, -0.424593, -0.369971, 1.908322]"
109,"[0.243652, 0.044939, 0.341927, 3.104330, 0.006141, 3.118501]","[0.143123, 0.185469, 0.504987, -0.424593, -0.369971, 1.908322]"
110,"[0.243652, 0.044939, 0.341927, 3.104330, 0.006141, 3.118501]","[0.143056, 0.185434, 0.504890, -0.425325, -0.369333, 1.907657]"
111,"[0.243656, 0.044927, 0.341935, 3.104442, 0.006273, 3.118460]","[0.143056, 0.185434, 0.504890, -0.425325, -0.369333, 1.907657]"
112,"[0.243656, 0.044927, 0.341935, 3.104442, 0.006273, 3.118460]","[0.143056, 0.185434, 0.504890, -0.425325, -0.369333, 1.907657]"
113,"[0.243656, 0.044927, 0.341935, 3.104442, 0.006273, 3.118460]","[0.143084, 0.185487, 0.504975, -0.425024, -0.369529, 1.908157]"
114,"[0.243712, 0.044938, 0.342011, 3.104400, 0.005795, 3.118750]","[0.143084, 0.185487, 0.504975, -0.425024, -0.369529, 1.908157]"
