iteration,camera1_pose,camera3_pose
357,"[0.243645, 0.044945, 0.341928, 3.104166, 0.006374, 3.118607]","[0.143065, 0.185452, 0.504965, -0.424603, -0.368720, 1.907432]"
358,"[0.243625, 0.044942, 0.341907, 3.104356, 0.006509, 3.119011]","[0.143065, 0.185452, 0.504965, -0.424603, -0.368720, 1.907432]"
359,"[0.243625, 0.044942, 0.341907, 3.104356, 0.006509, 3.119011]","[0.143065, 0.185452, 0.504965, -0.424603, -0.368720, 1.907432]"
360,"[0.243625, 0.044942, 0.341907, 3.104356, 0.006509, 3.119011]","[0.143144, 0.185472, 0.505022, -0.425073, -0.368906, 1.907404]"
361,"[0.243661, 0.044930, 0.341959, 3.104383, 0.005669, 3.118980]","[0.143144, 0.185472, 0.505022, -0.425073, -0.368906, 1.907404]"
362,"[0.243661, 0.044930, 0.341959, 3.104383, 0.005669, 3.118980]","[0.143144, 0.185472, 0.505022, -0.425073, -0.368906, 1.907404]"
363,"[0.243661, 0.044930, 0.341959, 3.104383, 0.005669, 3.118980]","[0.143049, 0.185420, 0.504925, -0.425046, -0.369777, 1.907355]"
364,"[0.243677, 0.044941, 0.341971, 3.104378, 0.006064, 3.119099]","[0.143049, 0.185420, 0.504925, -0.425046, -0.369777, 1.907355]"
365,"[0.243677, 0.044941, 0.341971, 3.104378, 0.006064, 3.119099]","[0.143049, 0.185420, 0.504925, -0.425046, -0.369777, 1.907355]"
366,"[0.243677, 0.044941, 0.341971, 3.104378, 0.006064, 3.119099]","[0.143044, 0.185437, 0.504856, -0.425050, -0.369684, 1.907864]"
367,"[0.243599, 0.044936, 0.341886, 3.104374, 0.006578, 3.118955]","[0.143044, 0.185437, 0.504856, -0.425050, -0.369684, 1.907864]"
368,"[0.243599, 0.044936, 0.341886, 3.104374, 0.006578, 3.118955]","[0.143092, 0.185443, 0.504944, -0.425252, -0.368685, 1.907177]"
369,"[0.243713, 0.044944, 0.342025, 3.104511, 0.006062, 3.118840]","[0.143092, 0.185443, 0.504944, -0.425252, -0.368685, 1.907177]"
370,"[0.243713, 0.044944, 0.342025, 3.104511, 0.006062, 3.118840]","[0.143092, 0.185443, 0.504944, -0.425252, -0.368685, 1.907177]"
371,"[0.243713, 0.044944, 0.342025, 3.104511, 0.006062, 3.118840]","[0.143122, 0.185505, 0.505115, -0.424394, -0.369056, 1.908683]"
372,"[0.243678, 0.044927, 0.341946, 3.104706, 0.006261, 3.118762]","[0.143122, 0.185505, 0.505115, -0.424394, -0.369056, 1.908683]"
373,"[0.243678, 0.044927, 0.341946, 3.104706, 0.006261, 3.118762]","[0.142971, 0.185300, 0.504569, -0.425078, -0.368675, 1.906907]"
374,"[0.243663, 0.044933, 0.341975, 3.104048, 0.005950, 3.118347]","[0.142971, 0.185300, 0.504569, -0.425078, -0.368675, 1.906907]"
375,"[0.243663, 0.044933, 0.341975, 3.104048, 0.005950, 3.118347]","[0.142971, 0.185300, 0.504569, -0.425078, -0.368675, 1.906907]"
376,"[0.243663, 0.044933, 0.341975, 3.104048, 0.005950, 3.118347]","[0.143093, 0.185440, 0.504911, -0.424464, -0.368367, 1.907350]"
377,"[0.243646, 0.044926, 0.341937, 3.104183, 0.006276, 3.118809]","[0.143093, 0.185440, 0.504911, -0.424464, -0.368367, 1.907350]"
378,"[0.243646, 0.044926, 0.341937, 3.104183, 0.006276, 3.118809]","[0.143093, 0.185440, 0.504911, -0.424464, -0.368367, 1.907350]"
379,"[0.243646, 0.044926, 0.341937, 3.104183, 0.006276, 3.118809]","[0.143087, 0.185465, 0.504989, -0.424514, -0.369396, 1.908546]"
380,"[0.243651, 0.044931, 0.341929, 3.104303, 0.006823, 3.119012]","[0.143087, 0.185465, 0.504989, -0.424514, -0.369396, 1.908546]"
381,"[0.243651, 0.044931, 0.341929, 3.104303, 0.006823, 3.119012]","[0.143138, 0.185485, 0.505026, -0.425537, -0.369340, 1.907819]"
382,"[0.243635, 0.044932, 0.341901, 3.104323, 0.006578, 3.118375]","[0.143138, 0.185485, 0.505026, -0.425537, -0.369340, 1.907819]"
383,"[0.243635, 0.044932, 0.341901, 3.104323, 0.006578, 3.118375]","[0.143138, 0.185485, 0.505026, -0.425537, -0.369340, 1.907819]"
384,"[0.243635, 0.044932, 0.341901, 3.104323, 0.006578, 3.118375]","[0.143115, 0.185493, 0.505109, -0.424396, -0.369725, 1.908989]"
385,"[0.243707, 0.044939, 0.342020, 3.104072, 0.006087, 3.118512]","[0.143115, 0.185493, 0.505109, -0.424396, -0.369725, 1.908989]"
386,"[0.243707, 0.044939, 0.342020, 3.104072, 0.006087, 3.118512]","[0.143115, 0.185493, 0.505109, -0.424396, -0.369725, 1.908989]"
387,"[0.243707, 0.044939, 0.342020, 3.104072, 0.006087, 3.118512]","[0.143062, 0.185425, 0.504844, -0.425260, -0.370039, 1.908099]"
388,"[0.243646, 0.044950, 0.341931, 3.103980, 0.006607, 3.118513]","[0.143062, 0.185425, 0.504844, -0.425260, -0.370039, 1.908099]"
389,"[0.243646, 0.044950, 0.341931, 3.103980, 0.006607, 3.118513]","[0.143062, 0.185425, 0.504844, -0.425260, -0.370039, 1.908099]"
390,"[0.243646, 0.044950, 0.341931, 3.103980, 0.006607, 3.118513]","[0.143000, 0.185362, 0.504571, -0.424970, -0.369708, 1.906631]"
391,"[0.243711, 0.044942, 0.342038, 3.104472, 0.005601, 3.118427]","[0.143000, 0.185362, 0.504571, -0.424970, -0.369708, 1.906631]"
392,"[0.243711, 0.044942, 0.342038, 3.104472, 0.005601, 3.118427]","[0.143000, 0.185362, 0.504571, -0.424970, -0.369708, 1.906631]"
393,"[0.243711, 0.044942, 0.342038, 3.104472, 0.005601, 3.118427]","[0.143085, 0.185494, 0.505021, -0.425776, -0.369756, 1.908365]"
394,"[0.243716, 0.044932, 0.342020, 3.104717, 0.005479, 3.118892]","[0.143085, 0.185494, 0.505021, -0.425776, -0.369756, 1.908365]"
395,"[0.243716, 0.044932, 0.342020, 3.104717, 0.005479, 3.118892]","[0.143198, 0.185536, 0.505180, -0.424386, -0.369269, 1.907697]"
396,"[0.243530, 0.044916, 0.341771, 3.104498, 0.007275, 3.119191]","[0.143198, 0.185536, 0.505180, -0.424386, -0.369269, 1.907697]"
397,"[0.243530, 0.044916, 0.341771, 3.104498, 0.007275, 3.119191]","[0.143198, 0.185536, 0.505180, -0.424386, -0.369269, 1.907697]"
398,"[0.243530, 0.044916, 0.341771, 3.104498, 0.007275, 3.119191]","[0.143032, 0.185422, 0.504789, -0.424614, -0.368144, 1.907564]"
399,"[0.243652, 0.044935, 0.341944, 3.104668, 0.006555, 3.118648]","[0.143032, 0.185422, 0.504789, -0.424614, -0.368144, 1.907564]"
400,"[0.243652, 0.044935, 0.341944, 3.104668, 0.006555, 3.118648]","[0.143032, 0.185422, 0.504789, -0.424614, -0.368144, 1.907564]"
401,"[0.243652, 0.044935, 0.341944, 3.104668, 0.006555, 3.118648]","[0.143114, 0.185468, 0.504978, -0.424942, -0.370114, 1.907605]"
402,"[0.243636, 0.044923, 0.341913, 3.104285, 0.006357, 3.118850]","[0.143114, 0.185468, 0.504978, -0.424942, -0.370114, 1.907605]"
403,"[0.243636, 0.044923, 0.341913, 3.104285, 0.006357, 3.118850]","[0.143114, 0.185468, 0.504978, -0.424942, -0.370114, 1.907605]"
404,"[0.243636, 0.044923, 0.341913, 3.104285, 0.006357, 3.118850]","[0.143055, 0.185453, 0.504890, -0.424838, -0.368942, 1.907310]"
405,"[0.243695, 0.044932, 0.342011, 3.104375, 0.005883, 3.118788]","[0.143055, 0.185453, 0.504890, -0.424838, -0.368942, 1.907310]"
406,"[0.243695, 0.044932, 0.342011, 3.104375, 0.005883, 3.118788]","[0.143055, 0.185453, 0.504890, -0.424838, -0.368942, 1.907310]"
407,"[0.243695, 0.044932, 0.342011, 3.104375, 0.005883, 3.118788]","[0.143138, 0.185464, 0.505023, -0.424247, -0.369096, 1.908001]"
408,"[0.243717, 0.044939, 0.342053, 3.104446, 0.005740, 3.118950]","[0.143138, 0.185464, 0.505023, -0.424247, -0.369096, 1.908001]"
409,"[0.243717, 0.044939, 0.342053, 3.104446, 0.005740, 3.118950]","[0.143138, 0.185464, 0.505023, -0.424247, -0.369096, 1.908001]"
410,"[0.243717, 0.044939, 0.342053, 3.104446, 0.005740, 3.118950]","[0.143119, 0.185486, 0.505073, -0.424643, -0.369013, 1.908044]"
411,"[0.243623, 0.044909, 0.341896, 3.104246, 0.006617, 3.118157]","[0.143119, 0.185486, 0.505073, -0.424643, -0.369013, 1.908044]"
412,"[0.243623, 0.044909, 0.341896, 3.104246, 0.006617, 3.118157]","[0.143119, 0.185486, 0.505073, -0.424643, -0.369013, 1.908044]"
413,"[0.243623, 0.044909, 0.341896, 3.104246, 0.006617, 3.118157]","[0.143102, 0.185471, 0.505101, -0.425159, -0.370072, 1.908586]"
414,"[0.243576, 0.044915, 0.341838, 3.104655, 0.006670, 3.119137]","[0.143102, 0.185471, 0.505101, -0.425159, -0.370072, 1.908586]"
415,"[0.243576, 0.044915, 0.341838, 3.104655, 0.006670, 3.119137]","[0.143022, 0.185408, 0.504764, -0.424806, -0.369188, 1.906899]"
416,"[0.243678, 0.044917, 0.341958, 3.104720, 0.006232, 3.118684]","[0.143022, 0.185408, 0.504764, -0.424806, -0.369188, 1.906899]"
417,"[0.243678, 0.044917, 0.341958, 3.104720, 0.006232, 3.118684]","[0.143022, 0.185408, 0.504764, -0.424806, -0.369188, 1.906899]"
418,"[0.243678, 0.044917, 0.341958, 3.104720, 0.006232, 3.118684]","[0.143050, 0.185386, 0.504796, -0.425234, -0.369422, 1.907396]"
419,"[0.243675, 0.044944, 0.341948, 3.104868, 0.006352, 3.119014]","[0.143050, 0.185386, 0.504796, -0.425234, -0.369422, 1.907396]"
420,"[0.243675, 0.044944, 0.341948, 3.104868, 0.006352, 3.119014]","[0.143050, 0.185386, 0.504796, -0.425234, -0.369422, 1.907396]"
421,"[0.243675, 0.044944, 0.341948, 3.104868, 0.006352, 3.119014]","[0.143128, 0.185509, 0.505064, -0.424486, -0.368740, 1.908324]"
422,"[0.243637, 0.044928, 0.341928, 3.104064, 0.006374, 3.118096]","[0.143128, 0.185509, 0.505064, -0.424486, -0.368740, 1.908324]"
423,"[0.243637, 0.044928, 0.341928, 3.104064, 0.006374, 3.118096]","[0.143128, 0.185509, 0.505064, -0.424486, -0.368740, 1.908324]"
424,"[0.243637, 0.044928, 0.341928, 3.104064, 0.006374, 3.118096]","[0.143070, 0.185475, 0.504960, -0.425176, -0.369514, 1.907072]"
425,"[0.243667, 0.044944, 0.341944, 3.104322, 0.005979, 3.118488]","[0.143070, 0.185475, 0.504960, -0.425176, -0.369514, 1.907072]"
426,"[0.243667, 0.044944, 0.341944, 3.104322, 0.005979, 3.118488]","[0.143070, 0.185475, 0.504960, -0.425176, -0.369514, 1.907072]"
427,"[0.243667, 0.044944, 0.341944, 3.104322, 0.005979, 3.118488]","[0.143080, 0.185442, 0.504874, -0.424812, -0.369204, 1.906873]"
428,"[0.243654, 0.044922, 0.341917, 3.104625, 0.006150, 3.119120]","[0.143080, 0.185442, 0.504874, -0.424812, -0.369204, 1.906873]"
429,"[0.243654, 0.044922, 0.341917, 3.104625, 0.006150, 3.119120]","[0.143080, 0.185442, 0.504874, -0.424812, -0.369204, 1.906873]"
430,"[0.243654, 0.044922, 0.341917, 3.104625, 0.006150, 3.119120]","[0.143251, 0.185668, 0.505501, -0.424165, -0.369558, 1.909520]"
431,"[0.243630, 0.044919, 0.341927, 3.104560, 0.006249, 3.118777]","[0.143251, 0.185668, 0.505501, -0.424165, -0.369558, 1.909520]"
432,"[0.243630, 0.044919, 0.341927, 3.104560, 0.006249, 3.118777]","[0.143077, 0.185453, 0.504939, -0.424606, -0.369852, 1.907834]"
433,"[0.243655, 0.044948, 0.341920, 3.104817, 0.006163, 3.119161]","[0.143077, 0.185453, 0.504939, -0.424606, -0.369852, 1.907834]"
434,"[0.243655, 0.044948, 0.341920, 3.104817, 0.006163, 3.119161]","[0.143077, 0.185453, 0.504939, -0.424606, -0.369852, 1.907834]"
435,"[0.243655, 0.044948, 0.341920, 3.104817, 0.006163, 3.119161]","[0.142988, 0.185290, 0.504593, -0.425091, -0.368985, 1.906966]"
436,"[0.243695, 0.044945, 0.341992, 3.104176, 0.006170, 3.118494]","[0.142988, 0.185290, 0.504593, -0.425091, -0.368985, 1.906966]"
437,"[0.243695, 0.044945, 0.341992, 3.104176, 0.006170, 3.118494]","[0.142988, 0.185290, 0.504593, -0.425091, -0.368985, 1.906966]"
438,"[0.243695, 0.044945, 0.341992, 3.104176, 0.006170, 3.118494]","[0.143069, 0.185470, 0.504900, -0.424910, -0.370156, 1.907481]"
439,"[0.243676, 0.044935, 0.341988, 3.104620, 0.006345, 3.118774]","[0.143069, 0.185470, 0.504900, -0.424910, -0.370156, 1.907481]"
440,"[0.243676, 0.044935, 0.341988, 3.104620, 0.006345, 3.118774]","[0.143097, 0.185409, 0.504913, -0.424373, -0.369091, 1.907761]"
441,"[0.243676, 0.044935, 0.341988, 3.104620, 0.006345, 3.118774]","[0.143097, 0.185409, 0.504913, -0.424373, -0.369091, 1.907761]"
442,"[0.243652, 0.044941, 0.341928, 3.104612, 0.006646, 3.118873]","[0.143097, 0.185409, 0.504913, -0.424373, -0.369091, 1.907761]"
443,"[0.243652, 0.044941, 0.341928, 3.104612, 0.006646, 3.118873]","[0.143128, 0.185456, 0.504995, -0.424625, -0.368357, 1.907109]"
444,"[0.243698, 0.044949, 0.341999, 3.104103, 0.006561, 3.118868]","[0.143128, 0.185456, 0.504995, -0.424625, -0.368357, 1.907109]"
445,"[0.243698, 0.044949, 0.341999, 3.104103, 0.006561, 3.118868]","[0.143128, 0.185456, 0.504995, -0.424625, -0.368357, 1.907109]"
446,"[0.243698, 0.044949, 0.341999, 3.104103, 0.006561, 3.118868]","[0.142973, 0.185306, 0.504571, -0.424655, -0.369053, 1.906847]"
447,"[0.243746, 0.044955, 0.342064, 3.104476, 0.005581, 3.118816]","[0.142973, 0.185306, 0.504571, -0.424655, -0.369053, 1.906847]"
448,"[0.243746, 0.044955, 0.342064, 3.104476, 0.005581, 3.118816]","[0.142973, 0.185306, 0.504571, -0.424655, -0.369053, 1.906847]"
449,"[0.243746, 0.044955, 0.342064, 3.104476, 0.005581, 3.118816]","[0.143198, 0.185597, 0.505355, -0.425286, -0.369273, 1.908336]"
450,"[0.243641, 0.044921, 0.341906, 3.104342, 0.006632, 3.118507]","[0.143198, 0.185597, 0.505355, -0.425286, -0.369273, 1.908336]"
451,"[0.243641, 0.044921, 0.341906, 3.104342, 0.006632, 3.118507]","[0.143198, 0.185597, 0.505355, -0.425286, -0.369273, 1.908336]"
452,"[0.243641, 0.044921, 0.341906, 3.104342, 0.006632, 3.118507]","[0.143213, 0.185613, 0.505388, -0.424499, -0.369697, 1.908801]"
453,"[0.243672, 0.044950, 0.341980, 3.104144, 0.005725, 3.118520]","[0.143213, 0.185613, 0.505388, -0.424499, -0.369697, 1.908801]"
454,"[0.243672, 0.044950, 0.341980, 3.104144, 0.005725, 3.118520]","[0.143213, 0.185613, 0.505388, -0.424499, -0.369697, 1.908801]"
455,"[0.243672, 0.044950, 0.341980, 3.104144, 0.005725, 3.118520]","[0.143122, 0.185473, 0.505036, -0.424560, -0.368897, 1.908160]"
456,"[0.243733, 0.044963, 0.342043, 3.104339, 0.005935, 3.118895]","[0.143122, 0.185473, 0.505036, -0.424560, -0.368897, 1.908160]"
457,"[0.243733, 0.044963, 0.342043, 3.104339, 0.005935, 3.118895]","[0.143201, 0.185625, 0.505310, -0.425098, -0.370568, 1.909315]"
458,"[0.243695, 0.044930, 0.342014, 3.104536, 0.005697, 3.118603]","[0.143201, 0.185625, 0.505310, -0.425098, -0.370568, 1.909315]"
459,"[0.243695, 0.044930, 0.342014, 3.104536, 0.005697, 3.118603]","[0.143201, 0.185625, 0.505310, -0.425098, -0.370568, 1.909315]"
460,"[0.243695, 0.044930, 0.342014, 3.104536, 0.005697, 3.118603]","[0.143092, 0.185471, 0.504967, -0.424731, -0.368877, 1.908214]"
461,"[0.243666, 0.044939, 0.341947, 3.104470, 0.006519, 3.118830]","[0.143092, 0.185471, 0.504967, -0.424731, -0.368877, 1.908214]"
462,"[0.243666, 0.044939, 0.341947, 3.104470, 0.006519, 3.118830]","[0.143188, 0.185616, 0.505393, -0.424994, -0.369029, 1.908867]"
463,"[0.243678, 0.044927, 0.341976, 3.104423, 0.006291, 3.118296]","[0.143188, 0.185616, 0.505393, -0.424994, -0.369029, 1.908867]"
464,"[0.243678, 0.044927, 0.341976, 3.104423, 0.006291, 3.118296]","[0.143188, 0.185616, 0.505393, -0.424994, -0.369029, 1.908867]"
465,"[0.243678, 0.044927, 0.341976, 3.104423, 0.006291, 3.118296]","[0.143052, 0.185388, 0.504820, -0.424192, -0.369038, 1.907547]"
466,"[0.243711, 0.044935, 0.342014, 3.104416, 0.005767, 3.118885]","[0.143052, 0.185388, 0.504820, -0.424192, -0.369038, 1.907547]"
467,"[0.243711, 0.044935, 0.342014, 3.104416, 0.005767, 3.118885]","[0.143052, 0.185388, 0.504820, -0.424192, -0.369038, 1.907547]"
468,"[0.243711, 0.044935, 0.342014, 3.104416, 0.005767, 3.118885]","[0.143073, 0.185442, 0.504899, -0.425467, -0.369673, 1.907514]"
469,"[0.243652, 0.044924, 0.341945, 3.104522, 0.006235, 3.118871]","[0.143073, 0.185442, 0.504899, -0.425467, -0.369673, 1.907514]"
470,"[0.243652, 0.044924, 0.341945, 3.104522, 0.006235, 3.118871]","[0.143073, 0.185442, 0.504899, -0.425467, -0.369673, 1.907514]"
471,"[0.243652, 0.044924, 0.341945, 3.104522, 0.006235, 3.118871]","[0.143120, 0.185495, 0.505058, -0.425057, -0.370269, 1.908038]"
472,"[0.243575, 0.044913, 0.341851, 3.104512, 0.006547, 3.119038]","[0.143120, 0.185495, 0.505058, -0.425057, -0.370269, 1.908038]"
473,"[0.243575, 0.044913, 0.341851, 3.104512, 0.006547, 3.119038]","[0.143201, 0.185547, 0.505269, -0.423957, -0.368915, 1.909225]"
474,"[0.243674, 0.044930, 0.341991, 3.104432, 0.005767, 3.118697]","[0.143201, 0.185547, 0.505269, -0.423957, -0.368915, 1.909225]"
475,"[0.243674, 0.044930, 0.341991, 3.104432, 0.005767, 3.118697]","[0.143201, 0.185547, 0.505269, -0.423957, -0.368915, 1.909225]"
476,"[0.243674, 0.044930, 0.341991, 3.104432, 0.005767, 3.118697]","[0.143122, 0.185514, 0.505104, -0.424692, -0.369325, 1.907907]"
477,"[0.243606, 0.044914, 0.341904, 3.104502, 0.006819, 3.119175]","[0.143122, 0.185514, 0.505104, -0.424692, -0.369325, 1.907907]"
478,"[0.243606, 0.044914, 0.341904, 3.104502, 0.006819, 3.119175]","[0.143122, 0.185514, 0.505104, -0.424692, -0.369325, 1.907907]"
479,"[0.243606, 0.044914, 0.341904, 3.104502, 0.006819, 3.119175]","[0.143208, 0.185590, 0.505328, -0.425520, -0.369988, 1.908351]"
480,"[0.243689, 0.044918, 0.341974, 3.104252, 0.006042, 3.118555]","[0.143208, 0.185590, 0.505328, -0.425520, -0.369988, 1.908351]"
481,"[0.243689, 0.044918, 0.341974, 3.104252, 0.006042, 3.118555]","[0.143023, 0.185369, 0.504768, -0.425550, -0.369620, 1.907678]"
482,"[0.243647, 0.044911, 0.341932, 3.104293, 0.006610, 3.118319]","[0.143023, 0.185369, 0.504768, -0.425550, -0.369620, 1.907678]"
483,"[0.243647, 0.044911, 0.341932, 3.104293, 0.006610, 3.118319]","[0.143023, 0.185369, 0.504768, -0.425550, -0.369620, 1.907678]"
484,"[0.243647, 0.044911, 0.341932, 3.104293, 0.006610, 3.118319]","[0.143160, 0.185560, 0.505255, -0.425353, -0.369865, 1.908969]"
485,"[0.243758, 0.044945, 0.342063, 3.104262, 0.006048, 3.118193]","[0.143160, 0.185560, 0.505255, -0.425353, -0.369865, 1.908969]"
486,"[0.243758, 0.044945, 0.342063, 3.104262, 0.006048, 3.118193]","[0.143160, 0.185560, 0.505255, -0.425353, -0.369865, 1.908969]"
487,"[0.243758, 0.044945, 0.342063, 3.104262, 0.006048, 3.118193]","[0.143030, 0.185414, 0.504745, -0.424683, -0.368637, 1.907271]"
488,"[0.243600, 0.044923, 0.341916, 3.104227, 0.006706, 3.119141]","[0.143030, 0.185414, 0.504745, -0.424683, -0.368637, 1.907271]"
489,"[0.243600, 0.044923, 0.341916, 3.104227, 0.006706, 3.119141]","[0.143030, 0.185414, 0.504745, -0.424683, -0.368637, 1.907271]"
490,"[0.243600, 0.044923, 0.341916, 3.104227, 0.006706, 3.119141]","[0.143167, 0.185611, 0.505240, -0.425013, -0.370215, 1.908397]"
491,"[0.243678, 0.044928, 0.341967, 3.104141, 0.005921, 3.118368]","[0.143167, 0.185611, 0.505240, -0.425013, -0.370215, 1.908397]"
492,"[0.243678, 0.044928, 0.341967, 3.104141, 0.005921, 3.118368]","[0.143167, 0.185611, 0.505240, -0.425013, -0.370215, 1.908397]"
493,"[0.243631, 0.044912, 0.341899, 3.104280, 0.006423, 3.118781]","[0.143113, 0.185475, 0.505029, -0.424262, -0.368690, 1.908579]"
494,"[0.243631, 0.044912, 0.341899, 3.104280, 0.006423, 3.118781]","[0.143113, 0.185475, 0.505029, -0.424262, -0.368690, 1.908579]"
495,"[0.243631, 0.044912, 0.341899, 3.104280, 0.006423, 3.118781]","[0.143135, 0.185471, 0.505019, -0.424965, -0.368253, 1.908056]"
496,"[0.243681, 0.044930, 0.341960, 3.104436, 0.005861, 3.118715]","[0.143135, 0.185471, 0.505019, -0.424965, -0.368253, 1.908056]"
497,"[0.243681, 0.044930, 0.341960, 3.104436, 0.005861, 3.118715]","[0.143135, 0.185471, 0.505019, -0.424965, -0.368253, 1.908056]"
498,"[0.243681, 0.044930, 0.341960, 3.104436, 0.005861, 3.118715]","[0.143114, 0.185493, 0.504960, -0.424626, -0.369434, 1.907578]"
499,"[0.243679, 0.044927, 0.341965, 3.104421, 0.006083, 3.118508]","[0.143114, 0.185493, 0.504960, -0.424626, -0.369434, 1.907578]"
500,"[0.243679, 0.044927, 0.341965, 3.104421, 0.006083, 3.118508]","[0.143114, 0.185493, 0.504960, -0.424626, -0.369434, 1.907578]"
501,"[0.243679, 0.044927, 0.341965, 3.104421, 0.006083, 3.118508]","[0.143044, 0.185393, 0.504810, -0.425014, -0.369425, 1.907923]"
502,"[0.243673, 0.044933, 0.341959, 3.104495, 0.006332, 3.118532]","[0.143044, 0.185393, 0.504810, -0.425014, -0.369425, 1.907923]"
503,"[0.243673, 0.044933, 0.341959, 3.104495, 0.006332, 3.118532]","[0.143133, 0.185500, 0.505146, -0.424796, -0.368272, 1.908093]"
504,"[0.243701, 0.044932, 0.341994, 3.104162, 0.006143, 3.118406]","[0.143133, 0.185500, 0.505146, -0.424796, -0.368272, 1.908093]"
505,"[0.243701, 0.044932, 0.341994, 3.104162, 0.006143, 3.118406]","[0.143133, 0.185500, 0.505146, -0.424796, -0.368272, 1.908093]"
506,"[0.243701, 0.044932, 0.341994, 3.104162, 0.006143, 3.118406]","[0.143075, 0.185484, 0.504998, -0.424667, -0.369304, 1.908140]"
507,"[0.243615, 0.044922, 0.341865, 3.104419, 0.006256, 3.118873]","[0.143075, 0.185484, 0.504998, -0.424667, -0.369304, 1.908140]"
508,"[0.243615, 0.044922, 0.341865, 3.104419, 0.006256, 3.118873]","[0.143075, 0.185484, 0.504998, -0.424667, -0.369304, 1.908140]"
509,"[0.243615, 0.044922, 0.341865, 3.104419, 0.006256, 3.118873]","[0.143030, 0.185374, 0.504754, -0.424893, -0.368483, 1.907065]"
510,"[0.243611, 0.044925, 0.341859, 3.104418, 0.006554, 3.118775]","[0.143030, 0.185374, 0.504754, -0.424893, -0.368483, 1.907065]"
511,"[0.243611, 0.044925, 0.341859, 3.104418, 0.006554, 3.118775]","[0.143030, 0.185374, 0.504754, -0.424893, -0.368483, 1.907065]"
512,"[0.243611, 0.044925, 0.341859, 3.104418, 0.006554, 3.118775]","[0.143011, 0.185381, 0.504779, -0.424886, -0.369452, 1.908497]"
513,"[0.243662, 0.044927, 0.341932, 3.104153, 0.006736, 3.118599]","[0.143011, 0.185381, 0.504779, -0.424886, -0.369452, 1.908497]"
514,"[0.243662, 0.044927, 0.341932, 3.104153, 0.006736, 3.118599]","[0.143011, 0.185381, 0.504779, -0.424886, -0.369452, 1.908497]"
515,"[0.243662, 0.044927, 0.341932, 3.104153, 0.006736, 3.118599]","[0.143111, 0.185495, 0.505029, -0.424493, -0.368521, 1.907697]"
516,"[0.243615, 0.044931, 0.341884, 3.104125, 0.006280, 3.118220]","[0.143111, 0.185495, 0.505029, -0.424493, -0.368521, 1.907697]"
517,"[0.243615, 0.044931, 0.341884, 3.104125, 0.006280, 3.118220]","[0.143111, 0.185495, 0.505029, -0.424493, -0.368521, 1.907697]"
518,"[0.243663, 0.044928, 0.341943, 3.104470, 0.006043, 3.118914]","[0.143096, 0.185447, 0.504892, -0.424590, -0.368112, 1.907057]"
519,"[0.243663, 0.044928, 0.341943, 3.104470, 0.006043, 3.118914]","[0.143096, 0.185447, 0.504892, -0.424590, -0.368112, 1.907057]"
520,"[0.243663, 0.044928, 0.341943, 3.104470, 0.006043, 3.118914]","[0.143173, 0.185529, 0.505115, -0.424680, -0.369101, 1.908214]"
521,"[0.243607, 0.044935, 0.341886, 3.104201, 0.006928, 3.118947]","[0.143173, 0.185529, 0.505115, -0.424680, -0.369101, 1.908214]"
522,"[0.243607, 0.044935, 0.341886, 3.104201, 0.006928, 3.118947]","[0.143173, 0.185529, 0.505115, -0.424680, -0.369101, 1.908214]"
523,"[0.243607, 0.044935, 0.341886, 3.104201, 0.006928, 3.118947]","[0.143157, 0.185588, 0.505237, -0.424755, -0.368842, 1.908225]"
524,"[0.243593, 0.044941, 0.341855, 3.104188, 0.007197, 3.118880]","[0.143157, 0.185588, 0.505237, -0.424755, -0.368842, 1.908225]"
525,"[0.243593, 0.044941, 0.341855, 3.104188, 0.007197, 3.118880]","[0.143157, 0.185588, 0.505237, -0.424755, -0.368842, 1.908225]"
526,"[0.243593, 0.044941, 0.341855, 3.104188, 0.007197, 3.118880]","[0.143125, 0.185462, 0.505017, -0.424073, -0.368455, 1.908054]"
527,"[0.243738, 0.044963, 0.342091, 3.104397, 0.005739, 3.119337]","[0.143125, 0.185462, 0.505017, -0.424073, -0.368455, 1.908054]"
528,"[0.243738, 0.044963, 0.342091, 3.104397, 0.005739, 3.119337]","[0.143125, 0.185462, 0.505017, -0.424073, -0.368455, 1.908054]"
529,"[0.243738, 0.044963, 0.342091, 3.104397, 0.005739, 3.119337]","[0.143103, 0.185461, 0.504990, -0.424392, -0.368820, 1.908192]"
530,"[0.243660, 0.044918, 0.341951, 3.104547, 0.005977, 3.118896]","[0.143103, 0.185461, 0.504990, -0.424392, -0.368820, 1.908192]"
531,"[0.243660, 0.044918, 0.341951, 3.104547, 0.005977, 3.118896]","[0.143103, 0.185461, 0.504990, -0.424392, -0.368820, 1.908192]"
532,"[0.243660, 0.044918, 0.341951, 3.104547, 0.005977, 3.118896]","[0.143044, 0.185382, 0.504796, -0.424954, -0.369200, 1.907100]"
533,"[0.243675, 0.044932, 0.341968, 3.104520, 0.006404, 3.118608]","[0.143044, 0.185382, 0.504796, -0.424954, -0.369200, 1.907100]"
534,"[0.243675, 0.044932, 0.341968, 3.104520, 0.006404, 3.118608]","[0.143044, 0.185382, 0.504796, -0.424954, -0.369200, 1.907100]"
535,"[0.243675, 0.044932, 0.341968, 3.104520, 0.006404, 3.118608]","[0.143122, 0.185505, 0.505016, -0.424369, -0.368337, 1.907386]"
